title,url,topic_idx,news_date
"농협은행, ELS 판매 중단…홍콩H지수 폭락에 손실 우려",https://n.news.naver.com/mnews/article/366/0000951003?sid=101,4,20231128
"[마켓인]""난이도 높지만 전망은 확실""…항공산업에 눈 돌리는 PE",https://n.news.naver.com/mnews/article/018/0005628487?sid=101,4,20231128
"[머니쇼 출사표]최현만 회장의 CEO 30년 원동력, 어머니의 한 마디",https://n.news.naver.com/mnews/article/009/0005222151?sid=101,4,20231128
"홍콩 리스크에…농협은행, ELS 판매 중단",https://n.news.naver.com/mnews/article/011/0004267524?sid=101,4,20231128
"""일시적 2주택 등 종부세 특별공제 요건 꼼꼼히 챙겨야"" [더 머니이스트-NH WM마스터즈의 금융톡톡!]",https://n.news.naver.com/mnews/article/015/0004919453?sid=101,4,20231128
“금융회사인데 여대면 불합격…게임회사도 여자 거르겠네”…남녀고용평등법 위반 논란,https://n.news.naver.com/mnews/article/021/0002607733?sid=101,4,20231128
유동성 위기 기업 만기 연장·자금 지원… 구조조정 숨통,https://n.news.naver.com/mnews/article/014/0005107362?sid=101,4,20231128
기업 워크아웃 지원하는 기촉법 3년 연장..'질서있는 구조조정' 숨통 트였다,https://n.news.naver.com/mnews/article/014/0005107360?sid=101,3,20231128
"NH농협은행, 원금 손실 가능성 있는 ELS 판매 중단",https://n.news.naver.com/mnews/article/421/0007203851?sid=101,4,20231128
"NH농협은행, '손실우려' ELS 판매 중단.. 은행권 첫 조치",https://n.news.naver.com/mnews/article/008/0004967451?sid=101,4,20231128
"금감원, 보험사 ‘내부 통제’ 강화한다",https://n.news.naver.com/mnews/article/022/0003879639?sid=101,4,20231128
"""자영업자에 더 유리""…핀다, 사업자 대출 선보인다",https://n.news.naver.com/mnews/article/015/0004919444?sid=101,4,20231128
[투자의 창]두개의 전쟁에 美금리하락 제한적,https://n.news.naver.com/mnews/article/011/0004267515?sid=101,4,20231128
"IBK연금보험, ‘사랑의 연탄나눔’ 봉사로 따뜻한 마음 전해",https://n.news.naver.com/mnews/article/009/0005222079?sid=101,4,20231128
"“사업자 주담대 비대면으로”…SBI저축은행, 모바일뱅킹 통합해 ‘원뱅킹’ 서비스",https://n.news.naver.com/mnews/article/009/0005222074?sid=101,4,20231128
"기촉법 부활 불씨 살렸지만…금융당국, 개편안 마련 과제",https://n.news.naver.com/mnews/article/018/0005628458?sid=101,4,20231128
"“암컷은 1등 못 올라”…최강욱 ‘암컷’ 발언 또 있었다, 조국도 웃어",https://n.news.naver.com/mnews/article/009/0005222072?sid=101,4,20231128
BNK부산은행 행보 '대한민국 커뮤니케이션 대상' 수상,https://n.news.naver.com/mnews/article/014/0005107345?sid=101,4,20231128
